"鄉鎮市區","交易標的","土地區段位置建物區段門牌","土地移轉總面積平方公尺","都市土地使用分區","非都市土地使用分區","非都市土地使用編定","交易年月日","交易筆棟數","移轉層次","總樓層數","建物型態","主要用途","主要建材","建築完成年月","建物移轉總面積平方公尺","建物現況格局.房","建物現況格局.廳","建物現況格局.衛","建物現況格局.隔間","有無管理組織","總價元","單價元平方公尺","車位類別","車位移轉總面積平方公尺","車位總價元","備註","編號"
"南區","房地(土地+建物)","臺中市南區平順街1~30號",25.2,"住","","",1081025,"土地3建物1車位0","二層","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造","0671218",81.2,3,2,2,"有","無",2600000,32020,"",0,0,"親友、員工或其他特殊關係間之交易。;","RPVOMLMKJIOFFAB87CA"
"南區","房地(土地+建物)","臺中市南區南平路211~240號",8.72,"商","","",1080701,"土地1建物1車位0","八層","十五層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","0800917",102.69,2,2,2,"有","有",4070000,39634,"",0,0,"","RPPOMLOKJIOFFAB47CA"
"中區","房地(土地+建物)","臺中市中區民權路151~180號",1.93,"住","","",1081002,"土地2建物1車位0","十八層","二十八層","住宅大樓(11層含以上有電梯)","住家用","見其他登記事項","0860131",37.39,1,1,1,"有","無",1520000,40653,"",0,0,"","RPVPMLSKJIOFFAB58CA"
"北屯區","房地(土地+建物)","臺中市北屯區大連路一段241~270號",9.97,"住","","",1081005,"土地1建物1車位0","四層","五層","套房(1房1廳1衛)","住家用","鋼筋混凝土造","0731123",38.46,1,1,1,"有","有",1900000,49402,"",0,0,"","RPVNMLLKJIOFFBB77CA"
"北屯區","房地(土地+建物)","臺中市北屯區東山路二段250巷6弄1~30號",230.04,"住","","",1081003,"土地3建物1車位0","全","三層","透天厝","住家用","鋼筋混凝土造","0850108",146.95,4,2,3,"有","有",6300000,42872,"",0,0,"含增建或未登記建物。;","RPPQMLMKJIOFFBB57CA"
"北屯區","房地(土地+建物)","臺中市北屯區同榮路239巷36弄1~30號",64.04,"住","","",1081013,"土地1建物1車位0","全","二層","透天厝","住家用","鋼筋混凝土造","0780828",104.76,3,1,2,"有","無",6500000,62047,"",0,0,"","RPPRMLMKJIOFFBB67CA"
"北區","房地(土地+建物)","臺中市北區太原路三段61巷1~30號",20.93,"住","","",1081007,"土地1建物1車位0","五層","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造","0710925",100.73,5,0,5,"有","無",5480000,54403,"",0,0,"含增建或未登記建物。;","RPVQMLNKJIOFFBB28CA"
"北屯區","房地(土地+建物)","臺中市北屯區北屯路181~210號",6.84,"商","","",1081006,"土地1建物1車位0","十三層","十三層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","0830208",65.03,2,1,1,"有","有",3960000,60895,"",0,0,"","RPWQMLNKJIOFFBB38CA"
"北區","房地(土地+建物)","臺中市北區瑞祥街91~120號",226,"住","","",1081011,"土地1建物1車位0","全","一層","透天厝","住家用","磚造","0540223",79.13,3,2,1,"有","無",1.7e+07,214836,"",0,0,"含增建或未登記建物。;","RPUOMLOKJIOFFBB08CA"
"北屯區","房地(土地+建物)","臺中市北屯區中清路二段451~480號",7.99,"住","","",1080929,"土地1建物1車位0","十二層","十六層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","0811020",89.15,3,2,2,"有","有",4880000,54739,"",0,0,"","RPRNMLRKJIOFFBB97CA"
"北屯區","房地(土地+建物)","臺中市北屯區崇興路一段121~150號",24,"住","","",1080929,"土地1建物1車位0","五層","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造","0701119",104.02,4,0,4,"有","無",3900000,37493,"",0,0,"","RPQQMLTKJIOFFBB38CA"
"北屯區","房地(土地+建物)","臺中市北屯區柳陽西街31~60號",28.28,"住","","",1080910,"土地1建物1車位0","十二層，十三層","十三層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","0840321",252.28,3,1,2,"有","無",1e+07,39638,"",0,0,"","RPQVMLTKJIOFFBB88CA"
"北區","房地(土地+建物)","臺中市北區青島路一段1~30號",19.16,"住","","",1081015,"土地1建物1車位0","五層","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造","0770709",92.19,3,2,2,"有","無",4350000,47185,"",0,0,"","RPWQMLMLJIOFFBB38CA"
"北屯區","房地(土地+建物)","臺中市北屯區同榮路318巷1~30號",18.74,"住","","",1081007,"土地1建物1車位0","七層","七層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造","0810824",109.48,8,0,8,"有","有",5200000,47497,"",0,0,"8間套房","RPTPMLPLJIOFFBB28CA"
"北區","房地(土地+建物)","臺中市北區賴厝街31~60號",34.86,"商","","",1081007,"土地1建物1車位0","三層","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造","0691027",106.87,4,2,2,"有","無",3800000,35557,"",0,0,"","RPRPMLQLJIOFFBB18CA"
"北區","房地(土地+建物)","臺中市北區忠太東路31~60號",11.94,"住","","",1081019,"土地1建物1車位0","六層","十四層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","0861212",125.2,4,2,2,"有","有",9600000,76677,"",0,0,"","RPTQMLSLJIOFFBB68CA"
"北屯區","房地(土地+建物)","臺中市北屯區太原路三段464巷1~30號",87,"住","","",1080910,"土地1建物1車位0","全","二層","透天厝","住家用","鋼筋混凝土造","0721227",131.96,5,2,5,"有","無",12500000,94726,"",0,0,"含增建或未登記建物。;","RPUQMLOJKIOFFBB28CA"
"西屯區","房地(土地+建物)","臺中市西屯區福上巷251弄31~60號",18.63,"住","","",1081017,"土地1建物1車位0","五層","十層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造","0851018",131.47,4,2,2,"有","無",8e+06,60850,"",0,0,"","RPOWMLMKJIOFFCB18CA"
"南屯區","房地(土地+建物)","臺中市南屯區黎明東街391~420號",10.58,"住","","",1081012,"土地1建物1車位0","四層","十六層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","0840817",75.71,2,2,1,"有","有",5080000,67098,"",0,0,"","RPQNMLRKJIOFFCB97CA"
"豐原區","房地(土地+建物)","臺中市豐原區豐年路116巷6弄1~30號",231.83,"工","","",1080920,"土地2建物2車位0","全","二層","透天厝","住家用","加強磚造","0770310",83.22,2,2,1,"有","無",8500000,102139,"",0,0,"","RPVNMLMKJIOFFDB08CA"
"后里區","房地(土地+建物)","臺中市后里區三重三路301~330號",77.54,"","特定農業區","甲種建築用地",1080926,"土地1建物1車位0","全","三層","透天厝","住家用","鋼筋混凝土造","0821006",155.81,3,3,2,"有","無",6200000,39792,"",0,0,"含增建或未登記建物。;","RPUNMLNKJIOFFDB08CA"
"豐原區","房地(土地+建物)","臺中市豐原區豐原大道二段251巷1~30號",82.65,"住","","",1080925,"土地1建物1車位0","全","三層","透天厝","住家用","鋼筋混凝土造","",126.02,4,1,2,"有","無",5980000,47453,"",0,0,"","RPUNMLOKJIOFFDB18CA"
