"鄉鎮市區","交易標的","土地區段位置建物區段門牌","土地移轉總面積平方公尺","都市土地使用分區","非都市土地使用分區","非都市土地使用編定","交易年月日","交易筆棟數","移轉層次","總樓層數","建物型態","主要用途","主要建材","建築完成年月","建物移轉總面積平方公尺","建物現況格局.房","建物現況格局.廳","建物現況格局.衛","建物現況格局.隔間","有無管理組織","總價元","單價元平方公尺","車位類別","車位移轉總面積.平方公尺.","車位總價元","備註","編號","主建物面積","附屬建物面積","陽台面積","電梯"
"西區","房地(土地+建物)","臺中市西區梅川西路一段91~120號",52,"住","","",1090331,"土地1建物1車位0","全","二層","透天厝","住家用","磚造",570513,91.8,2,2,2,"有","無",10500000,114379,"",0,0,"","RPPNMLMKNHPFFAB57CA",91.8,0,0,""
"西區","房地(土地+建物)","臺中市西區向上路一段1~30號",2.71,"商","","",1090425,"土地2建物1車位0","十一層","十三層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",830924,26.28,1,1,1,"有","有",1680000,63927,"",0,0,"","RPSPMLNKNHPFFAB18CA",17.05,2.69,0,""
"西區","房地(土地+建物)","臺中市西區大忠南街86巷1~30號",85,"住","","",1090306,"土地1建物1車位0","全","一層","透天厝","住家用","見其他登記事項",610724,49.73,2,1,1,"有","無",11300000,227227,"",0,0,"","RPWPMLNKNHPFFAB58CA",49.73,0,0,""
"西區","房地(土地+建物)","臺中市西區向上路一段451~480號",14.36,"住","","",1090412,"土地1建物1車位0","十四層","十四層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",861205,130.36,3,2,2,"有","有",7400000,56766,"",0,0,"","RPUOMLOKNHPFFAB38CA",79.68,17.66,0,""
"南區","房地(土地+建物)","臺中市南區工學二街91~120號",18.08,"住","","",1090414,"土地1建物1車位0","三層","十二層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",870930,106.8,3,2,2,"有","有",5500000,51498,"",0,0,"","RPVNMLRLNHPFFAB78CA",77.22,6.49,0,""
"東區","房地(土地+建物)","臺中市東區進德路20巷1~30號",33.45,"住","","",1090304,"土地1建物1車位0","二層","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",800321,93.51,4,0,4,"有","有",6400000,68442,"",0,0,"","RPPNMLNJOHPFFAB67CA",79,4.23,0,""
"北屯區","房地(土地+建物)","臺中市北屯區平德路31~60號",22.8,"住","","",1090401,"土地1建物1車位0","八層","八層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",821026,131.53,3,2,2,"有","有",6650000,50559,"",0,0,"含增建或未登記建物。;","RPPOMLNKNHPFFBB87CA",85.69,14.68,0,""
"北屯區","房地(土地+建物)","臺中市北屯區倡和巷1~30號",85,"住","","",1090429,"土地1建物1車位0","全","一層","透天厝","住家用","加強磚造",620525,64.35,2,1,1,"有","無",7900000,122766,"",0,0,"","RPQNMLTKNHPFFBB48CA",64.35,0,0,""
"北區","房地(土地+建物)","臺中市北區山西路一段31~60號",12.86,"住","","",1090404,"土地1建物1車位0","十四層","十四層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",841120,116.93,3,2,2,"有","有",5960000,50971,"",0,0,"","RPSOMLKLNHPFFBB97CA",85.47,8.92,0,""
"北區","房地(土地+建物)","臺中市北區進化北路361~390號",3.68,"商","","",1090409,"土地1建物1車位0","十三層","十八層","套房(1房1廳1衛)","住家用","鋼筋混凝土造",830207,41.36,1,1,1,"有","有",1200000,29014,"",0,0,"","RPSNMLLLNHPFFBB97CA",23.65,4.93,0,""
"北區","房地(土地+建物)","臺中市北區衛道路31~60號",49.6,"住","","",1090327,"土地3建物1車位0","一層，地下層","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",790115,226.5,3,2,2,"有","無",8800000,38852,"",0,0,"","RPOQMLPLNHPFFBB28CA",226.5,0,0,""
"北區","房地(土地+建物)","臺中市北區進化北路361~390號",3.68,"商","","",1090409,"土地1建物1車位0","十三層","十八層","套房(1房1廳1衛)","住家用","鋼筋混凝土造",830207,41.96,1,1,1,"有","有",1600000,38132,"",0,0,"","RPXTMLTLNHPFFBB27CA",23.65,4.93,0,""
"北區","房地(土地+建物)","臺中市北區進化北路301~330號",5.37,"商","","",1090409,"土地2建物1車位0","八層","十八層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",941208,68.07,2,1,1,"有","有",4580000,67284,"",0,0,"含增建或未登記建物。;","RPOQMLLJOHPFFBB77CA",38.63,9.91,0,""
"西屯區","房地(土地+建物)","臺中市西屯區工業區三十八路31~60號",4.61,"住","","",1090405,"土地1建物1車位0","七層","七層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",821009,27.4,1,1,1,"有","有",1120000,40876,"",0,0,"含增建或未登記建物。;","RPWNMLNKNHPFFCB58CA",19.32,0,0,""
"西屯區","房地(土地+建物)","臺中市西屯區寧漢街61~90號",23.35,"住","","",1090331,"土地1建物1車位0","四層","七層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",740810,97.43,3,2,2,"有","有",5e+06,51319,"",0,0,"","RPOPMLNKNHPFFCB97CA",91.56,5.87,0,""
"南屯區","房地(土地+建物)","臺中市南屯區黎明路一段1101巷1~30號",20.12,"住","","",1090410,"土地1建物1車位0","三層","四層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",760323,57.05,2,2,1,"有","無",4200000,73620,"",0,0,"","RPVPMLOKNHPFFCB78CA",52.34,4.71,0,""
"西屯區","房地(土地+建物)","臺中市西屯區文心路二段541~570號",5.93,"住","","",1090311,"土地1建物1車位0","九層","二十三層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",941110,88.03,2,2,1,"有","有",7250000,82358,"",0,0,"含增建或未登記建物。;","RPPOMLPKNHPFFCB18CA",41.19,18.3,0,""
"西屯區","房地(土地+建物)","臺中市西屯區櫻花路1~30號",2.79,"住","","",1090414,"土地1建物1車位0","五層","六層","套房(1房1廳1衛)","住家用","鋼筋混凝土造",841110,21.59,1,1,1,"有","有",1230000,56971,"",0,0,"","RPVNMLQKNHPFFCB78CA",14.58,0,0,""
"西屯區","房地(土地+建物)","臺中市西屯區四川西二街1~30號",19.52,"住","","",1090402,"土地1建物1車位0","五層","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",760512,82.5,3,2,1,"有","無",2600000,31515,"",0,0,"","RPQNMLTKNHPFFCB58CA",58.44,9.02,0,""
"西屯區","房地(土地+建物)","臺中市西屯區河南路三段61~90號",23.52,"其他","","",1090406,"土地1建物1車位0","十七層","二十九層","住宅大樓(11層含以上有電梯)","住家用","見其他登記事項",1011228,413.86,4,2,3,"有","有",39500000,95443,"",0,0,"","RPVQMLLLNHPFFCB68CA",225.23,54.44,0,""
"西屯區","房地(土地+建物)","臺中市西屯區至善路101巷1~30號",4.17,"住","","",1090425,"土地1建物1車位0","四層","七層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",950711,30.62,1,0,1,"有","有",1580000,51600,"",0,0,"","RPTOMLMLNHPFFCB38CA",11.51,2.7,0,""
"西屯區","房地(土地+建物)","臺中市西屯區福聯街15巷1~30號",3.84,"住","","",1090423,"土地1建物1車位0","三層","十三層","套房(1房1廳1衛)","住家用","鋼筋混凝土造",830908,21.76,1,1,1,"有","有",1050000,48254,"",0,0,"","RPSQMLSLNHPFFCB09CA",12.21,1.35,0,""
"西屯區","房地(土地+建物)","臺中市西屯區福中八街31~60號",28.19,"住","","",1090308,"土地1建物1車位0","五層","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",740118,94.83,3,2,2,"有","無",3460000,36486,"",0,0,"","RPQNMLLMNHPFFCB97CA",80.05,6.79,0,""
"豐原區","房地(土地+建物)","臺中市豐原區北陽路450巷92弄1~30號",64.69,"住","","",1090402,"土地1建物1車位0","全","二層","透天厝","住家用","加強磚造",760511,80.4,5,3,2,"有","無",5200000,64677,"",0,0,"含增建或未登記建物。;","RPVNMLPKNHPFFDB78CA",80.4,0,0,""
"豐原區","房地(土地+建物)","臺中市豐原區向陽路173巷1~30號",21.33,"商","","",1090422,"土地1建物1車位0","一層","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",751210,62.48,2,1,1,"有","無",2300000,36812,"",0,0,"","RPQNMLPKNHPFFDB28CA",62.48,0,0,""
"神岡區","房地(土地+建物)","臺中市神岡區大豐路四段151~180號",185.14,"農","","",1090213,"土地4建物1車位0","全","四層","透天厝","住家用","鋼筋混凝土造",1090213,280.49,5,3,4,"有","無",2.2e+07,78434,"",0,0,"","RPWNMLLLNHPFFDB58CA",264.31,16.18,0,""
"沙鹿區","房地(土地+建物)","臺中市沙鹿區斗潭路171巷1~30號",111.59,"住","","",1090222,"土地1建物1車位0","全","二層","透天厝","住家用","見其他登記事項",620306,106.05,5,3,2,"有","無",3e+06,28289,"",0,0,"親友、員工或其他特殊關係間之交易。;","RPSNMLMKNHPFFFB38CA",106.05,0,0,""
"大雅區","房地(土地+建物)","臺中市大雅區神林南路197巷1~30號",31,"住","","",1090401,"土地1建物2車位0","一層，騎樓","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",691230,94.98,0,0,0,"無","無",6700000,70541,"",0,0,"含增建或未登記建物。;兩戶打通","RPSNMLMKNHPFFHB58CA",94.98,0,0,""
"大雅區","房地(土地+建物)","臺中市大雅區學府路101巷14弄1~30號",88,"住","","",1090329,"土地1建物1車位0","全","四層","透天厝","住家用","鋼筋混凝土造",781110,179.45,4,2,3,"有","無",12800000,71329,"",0,0,"","RPTNMLMKNHPFFHB68CA",169.25,10.2,0,""
"大雅區","房地(土地+建物)","臺中市大雅區雅潭路四段901~930號",9.93,"住","","",1090422,"土地1建物1車位0","九層","十四層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",831018,116.36,3,2,2,"有","有",5e+06,42970,"",0,0,"","RPUNMLQLNHPFFHB66CA",74.4,9.23,0,""
"潭子區","房地(土地+建物)","臺中市潭子區中山路二段137巷1~30號",10.48,"住","","",1090416,"土地1建物1車位0","十四層","十六層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",830610,108.58,3,2,2,"有","有",5100000,46970,"",0,0,"","RPTOMLTLNHPFFHB96CA",75.53,15.21,0,""
"大里區","房地(土地+建物)","臺中市大里區塗城路276巷1~30號",117.99,"","鄉村區","乙種建築用地",1090305,"土地1建物1車位0","全","二層","透天厝","住家用","加強磚造",671225,97.66,4,3,2,"有","無",7100000,72701,"",0,0,"","RPPPMLMJOHPFFIB58CA",97.66,0,0,""
"太平區","房地(土地+建物)","臺中市太平區振福路631~660號",190.24,"住","","",1090413,"土地1建物1車位0","全","二層","透天厝","住家用","見其他登記事項",621015,163.33,4,2,3,"有","無",7880000,48246,"",0,0,"含增建或未登記建物。;","RPSNMLPKNHPFFJB09CA",163.33,0,0,""
"太平區","房地(土地+建物)","臺中市太平區中平路26巷17弄31~60號",95,"住","","",1090331,"土地1建物1車位0","全","二層","透天厝","住家用","加強磚造",690304,86.22,4,2,3,"有","無",9300000,107864,"",0,0,"","RPSNMLMLNHPFFJB88CA",86.22,0,0,""
"北屯區","房地(土地+建物)","臺中市北屯區東山路一段123巷1~30號",200,"住","","",1090330,"土地1建物1車位0","全","一層","透天厝","住家用","加強磚造",620331,77.58,2,2,1,"有","無",17740000,228667,"",0,0,"","RPTOMLOKNHPFFBB48DA",77.58,0,0,""
"西屯區","房地(土地+建物)","臺中市西屯區國安一路151~180號",4.52,"住","","",1090406,"土地1建物1車位0","十三層","十五層","套房(1房1廳1衛)","住家用","鋼筋混凝土造",960522,36.2,0,0,0,"無","有",2400000,66298,"",0,0,"","RPSPMLOKNHPFFCB58DA",16.29,3.81,0,""
"豐原區","房地(土地+建物)","臺中市豐原區三豐路二段138巷41弄1~30號",66.37,"住","","",1090225,"土地1建物1車位0","全","一層","透天厝","住家用","加強磚造",621009,64.66,2,1,2,"有","無",5610000,86762,"",0,0,"","RPVNMLNKNHPFFDB68DA",64.66,0,0,""
