"id","鄉鎮市區","交易標的","土地區段位置建物區段門牌","土地移轉總面積平方公尺","都市土地使用分區","非都市土地使用分區","非都市土地使用編定","交易年月日","交易筆棟數","移轉層次","總樓層數","建物型態","主要用途","主要建材","建築完成年月","建物移轉總面積平方公尺","建物現況格局.房","建物現況格局.廳","建物現況格局.衛","建物現況格局.隔間","有無管理組織","總價元","單價元平方公尺","車位類別","車位移轉總面積.平方公尺.","車位總價元","備註","編號","主建物面積","附屬建物面積","陽台面積","電梯","移轉編號","X","X.1","X.2","X.3","X.4","Response_X","Response_Y","dist","dist.1","dist.2","dist.3","dist.4","dist.5","dist.6","dist.7","dist.8","dist.9"
1,"西屯區","房地(土地+建物)","惠中路100巷1弄1~30號",67,"都市：其他:第三之二種住宅區","","",1090727,"土地1建物1車位0","全","二層","透天厝","住家用","見其他登記事項",600908,85,3,2,2,"有","無",8600000,101176,NA,0,0,"其他增建","","RPXOMLTJRHPFFCB27EA","85","0","0","無","","","","","",214073.223,2673536.41,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250
2,"西屯區","房地(土地+建物)","福中七街31~60號",10.62,"都市：其他:第三種住宅區。","","",1090811,"土地1建物1車位0","八層","十三層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",831115,81.34,2,2,2,"有","有",4060000,49914,NA,0,0,"親友、員工、共有人或其他特殊關係間之交易","","RPVOMLNKRHPFFCB09DA","62.49","7.53","0","有","","","","","",210889.478,2674936.254,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250
3,"西屯區","房地(土地+建物)","福中十街1~30號",72,"都市：其他:第三種住宅區。","","",1090820,"土地1建物1車位0","全","二層","透天厝","住家用","加強磚造",760625,101.84,6,3,2,"有","無",15500000,152200,NA,0,0,"頂樓加蓋","其他增建","","RPQVMLPKRHPFFCB86DA","87.7","14.14","0","無","","","","",210852.057,2674708.731,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250
4,"北區","房地(土地+建物)","一中街121~150號",38,"都市：其他:第二種住宅區","","",1090811,"土地1建物1車位0","五層","七層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",840929,187.26,7,0,7,"有","有",14600000,77966,NA,0,0,"其他增建","","RPSTMLOKRHPFFBB66DA","115.89","7.64","0","有","609","","","","",218183.874,2672133.16,750,1250,1250,1250,1250,1250,1250,1000,1250,1250
5,"西屯區","房地(土地+建物)","福中三街23巷1~30號",90,"都市：其他:第二種住宅區","","",1090812,"土地1建物1車位0","全","四層","透天厝","住家用","鋼筋混凝土造",791201,317.08,8,2,6,"有","無",16000000,50460,NA,0,0,"交易總價為出賣人賣清價格，賣方應負擔之增值稅新台幣530796元由買方負擔。","RPVPMLSLRHPFFCB17DA","285.7","31.38","0","無","","","","","","",210951.589,2675075.58,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250
6,"中區","房地(土地+建物)","興中街31~60號",46,"都市：其他:第一種商業區","","",1090828,"土地1建物1車位0","全","三層","透天厝","住家用","見其他登記事項",551031,119.94,6,2,4,"有","無",6200000,51693,NA,0,0,"其他增建","","RPTPMLSJRHPFFAB56DA","119.94","0","0","無","1031","","","","",217283.717,2670887.324,1250,1000,750,1250,1250,1250,1250,1250,500,250
7,"北屯區","房地(土地+建物)","雷中街2巷1~30號",29.4,"都市：其他:第二種住宅區","","",1090829,"土地1建物1車位0","三層","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",811006,83.98,3,2,2,"有","有",5300000,63110,NA,0,0,"","RPXUMLTLRHPFFBB87DA","65.73","6.33","0","無","","","","","","",216549.179,2675085.774,1250,1250,1250,750,1250,1250,1250,1250,1250,1250
8,"北區","房地(土地+建物)","一中街31~60號",4.65,"都市：其他:第二種住宅區","","",1091013,"土地1建物1車位0","十二層","十四層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",781024,43.01,1,1,1,"有","有",2700000,62776,NA,0,0,"","RPOOMLMLIIPFFBB47DA","27.31","3.94","0","有","","","","","","",218183.874,2672133.16,750,1250,1250,1250,1250,1250,1250,1000,1250,1250
9,"北區","房地(土地+建物)","一中街31~60號",4.71,"都市：其他:第二種住宅區","","",1090825,"土地1建物1車位0","七層","十四層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",781024,43.41,1,0,1,"有","有",1500000,34554,NA,0,0,"親友、員工、共有人或其他特殊關係間之交易","","RPQUMLSLIIPFFBB98EA","27.31","4.15","0","有","","","","","",218183.874,2672133.16,750,1250,1250,1250,1250,1250,1250,1000,1250,1250
10,"南屯區","房地(土地+建物)","惠中路三段361~390號",24.16,"都市：其他:第二種住宅區","","",1090916,"土地1建物1車位0","十二層","十二層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",960601,130.96,3,2,1,"有","無",13280000,101405,NA,0,0,"","RPVPMLRJIIPFFCB68DA","62.23","9.9","0","無","1847","","","","","",213522.158,2670769.35,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250
11,"西屯區","房地(土地+建物)","福中十五街13巷1~30號",74,"都市：其他:第三種住宅區。","","",1090914,"土地1建物1車位0","全","四層","透天厝","住家用","鋼筋混凝土造",771214,170.43,4,3,3,"有","無",11500000,67476,NA,0,0,"","RPPPNLOLIIPFFCB08DA","157.79","12.64","0","無","","","","","","",210846.802,2674333.535,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250
12,"北區","房地(土地+建物)","一中街31~60號",9.94,"都市：其他:第二種住宅區","","",1091014,"土地1建物2車位0","十二層","十四層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",781024,91.74,2,1,1,"有","有",4360000,47526,NA,0,0,"其他增建","","RPTVMLLLIIPFFBB58DA","58.84","0","5.9","有","","","","","",218183.874,2672133.16,750,1250,1250,1250,1250,1250,1250,1000,1250,1250
