鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局.房,建物現況格局.廳,建物現況格局.衛,建物現況格局.隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積.平方公尺.,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,X,X.1,X.2,X.3,X.4,Response_X,Response_Y
北屯區,房地(土地+建物),臺中市北屯區北屯路361~390號,24.5,都市：其他:第二種住宅區,,,1090720,土地8建物1車位0,七層,十九層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,811110,251.22,0,0,0,無,有,11500000,45777,,0,0,,RPVPMLRJRHPFFBB76DA,182.26,0,46.66,有,,,,,,,219838.595,2675740.423
北屯區,房地(土地+建物),臺中市北屯區松竹路二段74巷1~30號,77.84,都市：其他:市場用地,,,1090707,土地1建物1車位0,全,三層,透天厝,商業用,鋼筋混凝土造,770712,142.89,5,2,2,有,無,14800000,103576,,0,0,其他增建,,RPXNMLOLQHPFFBB56DA,122.8,20.09,0,無,,,,,,219661.01,2675421.555
北區,房地(土地+建物),臺中市北區武昌南街1~30號,17.51,都市：其他:第二種住宅區,,,1090805,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,761002,63.3,2,1,1,有,有,3700000,58452,,0,0,,RPQOMLQLQHPFFBB78DA,45.95,8.82,0,無,95,,,,,,216463.163,2673651.711
北屯區,房地(土地+建物),臺中市北屯區柳陽西街92巷1~30號,5.29,都市：其他:第二種住宅區,,,1090804,土地1建物1車位0,一層,十六層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,840814,40.22,1,1,2,有,有,3800000,94480,,0,0,陽台外推,夾層,,RPRQMLKKRHPFFBB58EA,27.55,5.57,0,有,,,,,218722.371,2674508.853
北區,房地(土地+建物),臺中市北區五順街241~270號,4.98,都市：其他:第一種商業區,,,1090820,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,710419,21.95,1,1,1,有,無,600000,27335,,0,0,,RPQPMLLKRHPFFBB48EA,19.68,0,0,無,,,,,,,217273.958,2671906.081
北區,房地(土地+建物),臺中市北區五順街241~270號,4.98,都市：其他:第一種商業區,,,1090820,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,710419,21.95,1,1,1,有,無,600000,27335,,0,0,,RPSPMLLKRHPFFBB68EA,19.68,0,0,無,,,,,,,217273.958,2671906.081
西屯區,房地(土地+建物),臺中市西屯區太原路一段121~150號,2.82,都市：其他:第一種商業區,,,1090831,土地1建物1車位0,九層,九層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,820531,36.49,1,1,1,有,有,1850000,50699,,0,0,,RPWSMLKKRHPFFCB66DA,23.02,2.15,0,有,,,,,,,215846.981,2673285.785
北屯區,房地(土地+建物),臺中市北屯區大連路三段151~180號,13.72,都市：其他:第二種住宅區,,,1090808,土地1建物1車位0,一層，騎樓,九層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,830330,78.48,0,0,0,無,有,6900000,87920,,0,0,其他增建,,RPSQMLOJRHPFFBB88DA,59.55,7.58,0,有,,,,,,219160.812,2674283.034
中區,房地(土地+建物),臺中市中區成功路128巷1~30號,68.46,都市：其他:第二種商業區,,,1090731,土地4建物1車位0,二層,五層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,710826,325.01,10,1,10,有,無,14800000,45537,,0,0,,RPVNMLKKRHPFFAB48DA,267.34,16.11,0,無,181,,,,,,217883.736,2670660.066
西區,房地(土地+建物),臺中市西區梅川東路一段61~90號,6.58,都市：其他:第一種商業區,,,1090804,土地1建物1車位0,十一層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,820417,57.86,1,1,1,有,有,4000000,69132,,0,0,,RPORMLKKRHPFFAB18DA,38.13,8.68,0,有,,,,,,,216610.402,2671449.231
西區,房地(土地+建物),臺中市西區梅川西路二段1~30號,5.82,都市：其他:第二種住宅區,,,1090816,土地1建物1車位0,四層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,790504,72.41,2,1,1,有,有,3900000,53860,,0,0,,RPRNMLTJRHPFFAB88DA,53.21,0,0,有,,,,,,,216759.139,2671902.086
南屯區,房地(土地+建物),臺中市南屯區大英街601~630號,37.15,都市：其他:第二種住宅區,,,1090721,土地1建物1車位0,一層，騎樓，地下一層,七層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,800613,264.59,2,1,2,有,有,24000000,90706,,0,0,,RPUOMLLKRHPFFCB78DA,233.91,7.95,0,有,,,,,,,214277.486,2672292.95
南區,房地(土地+建物),臺中市南區平順街1~30號,29.44,都市：其他:第二種住宅區,,,1090901,土地3建物1車位0,一層，騎樓，地下層,五層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,671218,101.37,0,1,1,有,無,6560000,64713,,0,0,傢俱設備費:36000元冷氣機含傢俱設備費36000元,含土地增值稅或其他稅費24000元,親友、員工、共有人或其他特殊關係間之交易,,RPSNMLOKRHPFFAB68EA,101.37,0,0,無,,,,215712.583,2668876.45
西區,房地(土地+建物),臺中市西區忠明南路241~270號,31.38,都市：其他:第三種住宅區。,,,1090820,土地1建物1車位0,四層,二十層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,791105,341.21,0,0,0,無,有,10300000,30187,,0,0,,RPUNMLNJRHPFFAB58DA,197.58,53.89,0,有,,,,,,,215220.315,2669959.526
西區,房地(土地+建物),臺中市西區自由路一段91~120號,7.33,都市：其他:第二種商業區,,,1090908,土地1建物1車位0,七層,二十一層,住宅大樓(11層含以上有電梯),商業用,見其他登記事項,790720,97.42,0,0,0,無,有,4250000,43626,,0,0,,RPXPMLOKRHPFFAB66DA,65.36,0,0,有,,,,,,,217452.095,2670275.602
北屯區,房地(土地+建物),臺中市北屯區松文街61~90號,13.74,都市：其他:第二種住宅區,,,1090812,土地1建物1車位0,一層，騎樓,九層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,830426,86.55,0,0,0,無,有,5800000,67013,,0,0,含仲介費,,RPXPMLRJRHPFFBB96DA,66.14,4.2,0,有,,,,,,218623.038,2675112.21
北屯區,房地(土地+建物),臺中市北屯區雷中街31~60號,43.25,都市：其他:第二種住宅區,,,1090805,土地1建物1車位0,一層，騎樓，地下層,六層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,820602,144.55,3,2,1,有,有,7600000,52577,,0,0,,RPVPMLLKRHPFFBB88DA,132.44,0,0,有,314,,,,,,216540.079,2675655.987
大里區,房地(土地+建物),臺中市大里區新義路211~240號,27.25,都市：其他:住宅區,,,1090811,土地1建物1車位0,一層，騎樓,四層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,680330,78.53,2,1,1,有,無,4680000,59595,,0,0,,RPWOMLPKRHPFFIB37DA,78.53,0,0,無,,,,,,,218555.31,2666529.49
西區,房地(土地+建物),臺中市西區存中街151~180號,46.5,都市：其他:第三種住宅區。,,,1090821,土地1建物1車位0,一層，騎樓,四層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,670901,102.9,2,1,2,有,無,4000000,38873,,0,0,親友、員工、共有人或其他特殊關係間之交易,,RPWQMLRKRHPFFAB07EA,102.9,0,0,無,,,,,,215048.135,2670755.324
