"id","學校名稱","地址","Response_X","Response_Y"
1,"私立華盛頓國小","[427]臺中市潭子區潭興路一段165巷300號",221325.651,2676843.063
2,"市立善水國(中)小","[435]臺中市梧棲區梧南路50號",201606.321,2681826.609
3,"市立新高國小","[411]臺中市太平區立功路68號",220905.842,2671814.794
4,"市立豐原國小","[420]臺中市豐原區新生北路155號",221694.709,2683194.819
5,"市立瑞穗國小","[420]臺中市豐原區西安街72號",220631.935,2682629.518
6,"市立南陽國小","[420]臺中市豐原區中陽里南陽路440號",221889.404,2682530.358
7,"市立富春國小","[420]臺中市豐原區豐西里中山路455號",220935.929,2682977.83
8,"市立豐村國小","[420]臺中市豐原區水源路341號",223332.399,2683391.97
9,"市立翁子國小","[420]臺中市豐原區翁子里豐勢路2段290巷3號",223835.125,2684220.717
10,"市立豐田國小","[420]臺中市豐原區田心路二段290號",221763.76,2681288.819
11,"市立合作國小","[420]臺中市豐原區三村里西勢路410號",220009.972,2681606.956
12,"市立內埔國小","[421]臺中市后里區文化路30號",221023.687,2689112.838
13,"市立后里國小","[421]臺中市后里區義里里甲后路一段168號",222538.261,2689380.193
14,"市立月眉國小","[421]臺中市后里區眉山里甲后路二段588號",218627.815,2689979.091
15,"市立七星國小","[421]臺中市后里區墩南里南村路389號",220712.709,2688441.253
16,"市立育英國小","[421]臺中市后里區太平里四月路23號",217458.245,2689540.069
17,"市立后里區泰安國小","[421]臺中市后里區泰安里安眉路5號",224675.227,2691067.115
18,"市立神岡國小","[429]臺中市神岡區神岡里神圳路1號",215556.579,2683680.27
19,"市立豐洲國小","[429]臺中市神岡區豐洲里豐洲路482號",219943.573,2684103.043
20,"市立社口國小","[429]臺中市神岡區社南里社南街136號",218104.07,2682227.492
21,"市立圳堵國小","[429]臺中市神岡區圳堵里五鄰三民路639號",215345.989,2685246.436
22,"市立岸裡國小","[429]臺中市神岡區中山路52號",219287.14,2682717.75
23,"市立大雅國小","[428]臺中市大雅區二和里學府路230號",214454.168,2679663.061
24,"市立三和國小","[428]臺中市大雅區三和里春亭2街1號",216122.932,2678711.571
25,"市立大明國小","[428]臺中市大雅區中清路四段158號",213803.507,2680337.961
26,"市立上楓國小","[428]臺中市大雅區上楓里楓林街232號",216162.891,2681243.944
27,"市立汝鎏國小","[428]臺中市大雅區秀山里平和路238號",212058.625,2680670.649
28,"市立陽明國小","[428]臺中市大雅區秀山里秀山路365號",212618.247,2679584.538
29,"市立潭子國小","[427]臺中市潭子區中山路二段435號",219936.477,2678812.652
30,"市立僑忠國小","[427]臺中市潭子區中山路二段31號",219922.752,2677397.5
31,"市立東寶國小","[427]臺中市潭子區雅潭路三段2號",217931.393,2679069.798
32,"市立潭子區新興國小","[427]臺中市潭子區潭興路一段25號",222116.845,2677630.463
33,"市立外埔國小","[438]臺中市外埔區外埔路878號",214837.26,2691898.299
34,"市立安定國小","[438]臺中市外埔區土城里土城西路55號",220056.127,2693389.123
35,"市立鐵山國小","[438]臺中市外埔區鐵山里長生路576號",215139.046,2693722.705
36,"市立馬鳴國小","[438]臺中市外埔區中山里東西巷13號",215940.25,2692482.546
37,"市立水美國小","[438]臺中市外埔區水美里二崁路390巷63號",213104.87,2691202.29
38,"市立東勢國小","[423]臺中市東勢區廣興里第五橫街1號",232829.886,2683616.541
39,"市立中山國小","[423]臺中市東勢區泰昌里中泰街88號",233284.209,2683042.623
40,"市立石城國小","[423]臺中市東勢區茂興里石城街182巷26號",228927.133,2686690.044
41,"市立東勢區成功國小","[423]臺中市東勢區慶東里東關路五段600號",233672.924,2677950.615
42,"市立石角國小","[423]臺中市東勢區東坑路西盛巷22號",234817.062,2681350.487
43,"市立中科國小","[423]臺中市東勢區東崎路4段92巷16號",234900.864,2683514.603
44,"市立新成國小","[423]臺中市東勢區上城街260號",233649.323,2679596.401
45,"市立明正國小","[423]臺中市東勢區明正里東蘭路永盛巷57-1號",228772.728,2689295.452
46,"市立石岡國小","[422]臺中市石岡區石岡里石岡街123號",226985.56,2685615.069
47,"市立土牛國小","[422]臺中市石岡區土牛里豐勢路308號",230467.443,2684505.22
48,"市立新社國小","[426]臺中市新社區新社里興社街4段1巷2號",230655.668,2681660.176
49,"市立新社區東興國小","[426]臺中市新社區東興里興社街一段國校巷13號",231692.415,2677928.719
50,"市立大南國小","[426]臺中市新社區大南里興中街47號",230139.696,2680160.262
51,"市立協成國小","[426]臺中市新社區協成里興義街219號",230954.625,2676502.723
52,"市立大林國小","[426]臺中市新社區福興里美林38號",236220.318,2672700.537
53,"市立崑山國小","[426]臺中市新社區崑山里崑南街崑崙巷5-2號",228433.907,2681807.98
54,"市立中和國小","[426]臺中市新社區中和里中興街129號",232532.1,2672469.103
55,"市立清水國小","[436]臺中市清水區光華路125號",206662.358,2684636.001
56,"市立西寧國小","[436]臺中市清水區西寧里五權東路50號",206895.515,2685657.37
57,"市立建國國小","[436]臺中市清水區西社里建國路10號",205627.195,2685132.196
58,"市立大秀國小","[436]臺中市清水區武鹿里五權路336號",205053.101,2686040.824
59,"市立三田國小","[436]臺中市清水區田寮里三田路4號",207363.787,2687227.223
60,"市立甲南國小","[436]臺中市清水區菁埔里臨海路26號",208919.913,2688789.782
61,"市立高美國小","[436]臺中市清水區護岸路37號",205568.606,2689684.183
62,"市立大楊國小","[436]臺中市清水區楊厝里鱉海路325號",210404.541,2687471.676
63,"市立東山國小","[436]臺中市清水區東山里神清路6之1號",212879.752,2685673.257
64,"市立梧棲國小","[435]臺中市梧棲區民生街45號",202364.837,2683129.785
65,"市立梧南國小","[435]臺中市梧棲區草湳里文化路一段6號",202084.537,2682204.989
66,"市立梧棲區中正國小","[435]臺中市梧棲區福德里中央路二段15號",203149.222,2682836.609
67,"市立永寧國小","[435]臺中市梧棲區中央路一段160號",202525.011,2680460.177
68,"市立大甲國小","[437]臺中市大甲區文武里育德路233號",212066.429,2693920.96
69,"市立德化國小","[437]臺中市大甲區和平路290號",211878.924,2695085.813
70,"市立大甲區文昌國小","[437]臺中市大甲區育德路113號",211867.049,2693625.31
71,"市立順天國小","[437]臺中市大甲區經國路168號",211235.706,2693245.098
72,"市立文武國小","[437]臺中市大甲區武陵里文曲路61號",209466.814,2692340.382
73,"市立日南國小","[437]臺中市大甲區中山路二段568號",214930.94,2698223.705
74,"市立東明國小","[437]臺中市大甲區幸福里東明路93號",217589.177,2696575.16
75,"市立華龍國小","[437]臺中市大甲區日南里工二路1號",214531.228,2699895.977
76,"市立西岐國小","[437]臺中市大甲區西岐里順帆路96號",212323.56,2701621.975
77,"市立東陽國小","[437]臺中市大甲區甲東路520號",212364.515,2692873.926
78,"市立沙鹿國小","[433]臺中市沙鹿區美仁里中正街3號",205476.662,2681199.436
79,"市立文光國小","[433]臺中市沙鹿區斗潭路文光巷12號",204991.614,2680138.035
80,"市立竹林國小","[433]臺中市沙鹿區臺灣大道7段821號",206040.38,2681472.217
81,"市立北勢國小","[433]臺中市沙鹿區六路里南陽路376號",206518.196,2679052.373
82,"市立公明國小","[433]臺中市沙鹿區公明里忠貞路213號",210263.01,2682056.31
83,"市立公舘國小","[433]臺中市沙鹿區西勢里中航路2段1號",208939.397,2683931.813
84,"市立鹿峰國小","[433]臺中市沙鹿區鹿峰里星河路209號",206347.486,2683426.558
85,"市立大安國小","[439]臺中市大安區中庄里中山南路296號",208213.579,2693303.274
86,"市立三光國小","[439]臺中市大安區龜殼里3鄰中松路297號",209463.17,2694727.27
