"id","學校名稱","地址","Response_X","Response_Y"
1,"國立興大附中","[412]臺中市大里區東榮路369號",217823.85,2667190.399
2,"國立中科實驗高級中學","[428]臺中市大雅區平和路227號",212028.747,2680515.526
3,"財團法人常春藤高中","[427]臺中市潭子區潭興路一段165巷320號",221217.807,2676583.066
4,"私立明台高中","[413]臺中市霧峰區萊園路91號",219796.024,2661894.75
5,"私立致用高中","[437]臺中市大甲區甲東路512號",212547.579,2692880.52
6,"私立大明高中","[412]臺中市大里區新仁路三段210號",218074.42,2667946.37
7,"私立嘉陽高中","[436]臺中市清水區中航路三段1號",207742.685,2684578.73
8,"私立明道高中","[414]臺中市烏日區中山路一段497號",212969.967,2666887.203
9,"私立僑泰高中","[412]臺中市大里區樹王路342號",216147.87,2667447.609
10,"私立青年高中","[412]臺中市大里區中湖路100號",218870.13,2664744.37
11,"私立弘文高中","[427]臺中市潭子區弘文街100號",220138.283,2680085.881
12,"私立立人高中","[412]臺中市大里區中興路二段380號",218446.42,2666797.48
13,"私立玉山高中","[423]臺中市東勢區東崎路四段399號",234282.864,2682781.865
14,"私立慈明高中","[411]臺中市太平區光德路388號",222051.59,2667048.439
15,"華德福大地實驗學校","[414]臺中市烏日區公園路36號",212155.872,2666418.098
16,"市立大甲高中","[437]臺中市大甲區中山路一段720號",211606.511,2692957.745
17,"市立清水高中","[436]臺中市清水區中山路90號",206763.079,2684477.143
18,"市立豐原高中","[420]臺中市豐原區水源路150號",223699.459,2683339.339
19,"市立豐原高商","[420]臺中市豐原區圓環南路50號",220838.31,2682290.89
20,"市立大甲高工","[437]臺中市大甲區頂店里開元路71號",213924.665,2693816.995
21,"市立東勢高工","[423]臺中市東勢區東關路6段1328號",233126.152,2681945.909
22,"市立沙鹿高工","[433]臺中市沙鹿區臺灣大道7段823號",205890.81,2681533.455
23,"市立霧峰農工","[413]臺中市霧峰區中正路1222號",219741.932,2663080.764
24,"市立后綜高中","[421]臺中市后里區廣福里三豐路三段968號",221846.029,2688965.433
25,"市立大里高中","[412]臺中市大里區國中路365號",217321.519,2665528.029
26,"市立新社高中","[426]臺中市新社區復盛里中和街三段國中巷10號",230425.41,2681248.257
27,"市立長億高中","[411]臺中市太平區長億里長億六街1號",221701.799,2667573.16
28,"市立中港高中","[435]臺中市梧棲區文昌路400號",203506.086,2682209.989
29,"市立龍津高中","[434]臺中市龍井區三港路130號",201397.57,2677770.589
30,"市立神岡高工","[429]臺中市神岡區社南里中山路627號",217593.69,2682457.23
31,"國立興大附農","[401]臺中市東區台中路283號",218048.579,2669078.265
32,"私立東大附中","[407]臺中市西屯區臺灣大道四段1727號",210154.82,2675271.103
33,"私立葳格高中","[406]臺中市北屯區軍福十八路328號",220710.353,2674817.307
34,"私立新民高中","[404]臺中市北區健行路111號",218172.715,2672495.21
35,"私立宜寧高中","[407]臺中市西屯區東大路一段555號",209998.084,2676565.435
36,"私立明德高中","[402]臺中市南區明德街84號",217871.223,2668413.862
37,"私立衛道高中","[406]臺中市北屯區四平路161號",216936.138,2675431.765
38,"私立曉明女中","[404]臺中市北區中清路一段606號",216795.227,2673675.589
39,"私立嶺東高中","[408]臺中市南屯區春社里嶺東路2號",210390.29,2670282.365
40,"私立磊川華德福實驗教育學校","[406]臺中市北屯區松竹五路233號及366號",220842.334,2675024.467
41,"財團法人光華高工","[411]臺中市太平區東平路18號",223265.389,2670290.441
42,"市立臺中女中","[403]臺中市西區自由路一段95號",217210.098,2670110.958
43,"市立臺中一中","[404]臺中市北區育才街2號",218190.345,2671578.953
44,"市立忠明高中","[403]臺中市西區博館路166號",215828.187,2672546.805
45,"市立西苑高中","[407]臺中市西屯區西苑路268號",213614.263,2675727.51
46,"市立東山高中","[406]臺中市北屯區景賢六路200號",220752.533,2673499.08
47,"市立惠文高中","[408]臺中市南屯區公益路二段298號",213400.442,2671894.668
48,"市立臺中家商","[401]臺中市東區和平街50號",217944.744,2669845.169
49,"市立臺中高工","[402]臺中市南區高工路191號",215576.016,2667625.222
50,"市立臺中二中","[404]臺中市北區英士路109號",216993.469,2672026.361
51,"市立文華高中","[407]臺中市西屯區寧夏路240號",215464.687,2673911.509
