id,醫事機構名稱,醫事機構地址,Response_X,Response_Y
1,衛生福利部臺中醫院,台中市西區三民路一段１９９號,217042.008,2670591.075
2,衛生福利部豐原醫院,台中市豐原區安康路１００號,222103.329,2681930.149
3,國軍台中總醫院附設民眾診療服務處中清分院,台中市北區忠明路５００號,216771.954,2672929.802
4,國軍台中總醫院附設民眾診療服務處,台中市太平區中山路２段３４８號,222572.049,2671751.97
5,臺中榮民總醫院,台中市西屯區臺灣大道４段 １６５０號 ,209833.481,2675490.683
6,法務部矯正署臺中監獄附設培德醫院,台中市南屯區培德路九號,208966.103,2670880.264
7,維新醫療社團法人台中維新醫院,台中市北區育德路１８５、１８７號,216394.06,2672523.12
8,林新醫療社團法人林新醫院,台中市南屯區惠中路３段３６號,213435.63,2671575.651
9,李綜合醫療社團法人大甲李綜合醫院,台中市大甲區八德街２號,211247.989,2693925.569
10,光田醫療社團法人光田綜合醫院,台中市沙鹿區沙田路１１７號,205196.587,2681155.512
11,杏豐醫院,台中市豐原區三民路１０６號,221587.008,2683147.166
12,仁愛醫療財團法人台中仁愛醫院,台中市中區柳岸里柳川東路三段３６號,217269.538,2670937.955
13,佛教慈濟醫療財團法人台中慈濟醫院,台中市潭子區豐興路１段６６號,221590.019,2676520.785
14,仁愛醫療財團法人大里仁愛醫院,台中市大里區東榮路４８３號,217514.22,2667160.589
15,中國醫藥大學附設醫院台中東區分院,台中市東區自由路３段２９６號,218982.263,2670844.214
16,中山醫學大學附設醫院,台中市南區建國北路一段１１０號,214413.698,2668551.586
17,中山醫學大學附設醫院中興分院,台中市南區復興路２段１１號,215293.007,2668147.313
18,中國醫藥大學附設醫院,台中市北區育德路２號,217487.291,2672471.208
19,中國醫藥大學附設醫院豐原分院,台中市豐原區中正路１９９號,221404.391,2682924.615
20,財團法人台灣省私立台中仁愛之家附設靜和醫院,台中市西區吉龍里南屯路一段１５８號,215384.049,2669874.094
21,弘光科技大學附設老人醫院,台中市北屯區太原路三段１１４１號,221875.226,2673066.924
22,東勢區農會附設農民醫院,台中市東勢區南平里豐勢路２９７號,232689.034,2683155.379
23,第一醫院,台中市中區民族路一八四號,217116.953,2670842.254
24,澄清綜合醫院,台中市中區平等街１３９號,217642.223,2670852.91
25,台新醫院,台中市東區東信里振興路４３９－３號及４４１號,220057.769,2669500.069
26,臺安醫院,台中市東區進化路２０３號,218910.554,2671556.092
27,林森醫院,台中市西區三民里三民路一段１５２－１號,216772.769,2670112.568
28,宏恩醫院,台中市南區和平里復興路二段３８－１３號,215517.964,2668380.483
29,宏恩醫院龍安分院,台中市南區德富路１４５巷２號,214960.07,2668282.858
30,新亞東婦產科醫院,台中市北區中清路１段４０３號、４０７號１樓 ,216876.909,2673183.149
