"id","學校名稱","地址","Response_X","Response_Y"
1,"市立善水國中(小)","[435]臺中市梧棲區梧南路50號",201606.321,2681826.609
2,"市立豐原國中","[420]臺中市豐原區三豐路一段321號",221534.404,2684013.001
3,"市立豐東國中","[420]臺中市豐原區豐東路75號",222582.812,2682550.396
4,"市立豐南國中","[420]臺中市豐原區豐南街151號",221247.307,2681559.97
5,"市立潭子國中","[427]臺中市潭子區潭興路二段419巷1號",220383.619,2678288.893
6,"市立大雅國中","[428]臺中市大雅區學府路280號",214497.6,2679884.518
7,"市立后里國中","[421]臺中市后里區眉山里中眉路169號",219071.084,2689172.197
8,"市立外埔國中","[438]臺中市外埔區大同里外埔路999號",214478.535,2691889.771
9,"市立大甲國中","[437]臺中市大甲區育英路186號",211697.924,2694216.493
10,"市立日南國中","[437]臺中市大甲區中山路二段69之11號",214700.44,2696965.379
11,"市立大安國中","[439]臺中市大安區松雅里大安港路691號",209601.408,2695529.273
12,"市立清水國中","[436]臺中市清水區鰲峰路250號",205626.469,2684809.044
13,"市立清泉國中","[436]臺中市清水區菁埔里臨海路27之2號",208656.744,2688953.302
14,"市立沙鹿國中","[433]臺中市沙鹿區中正街1號",205562.1,2681203.612
15,"市立梧棲國中","[435]臺中市梧棲區文化里民生街12號",202559.046,2683067.419
16,"市立龍井國中","[434]臺中市龍井區觀光路9號",203628.959,2676352.16
17,"市立四箴國中","[434]臺中市龍井區新庄里中沙路2號",206973.25,2674962.16
18,"市立大道國中","[432]臺中市大肚區仁德路60號",204301.019,2671327.152
19,"市立烏日國中","[414]臺中市烏日區新興路457號",211100.473,2666667.396
20,"市立溪南國中","[414]臺中市烏日區溪南路一段731號",213815.918,2662992.166
21,"市立霧峰國中","[413]臺中市霧峰區國中路110號",218399.568,2662503.429
22,"市立光復國中(小)","[413]臺中市霧峰區南柳里柳豐路535號",218390.715,2659914.509
23,"市立太平國中","[411]臺中市太平區中山路二段116號",223033.489,2671474.62
24,"市立中平國中","[411]臺中市太平區中平里太平路300號",221363.82,2668681.39
25,"市立石岡國中","[422]臺中市石岡區梅子里豐勢路國中巷1號",229366.918,2684711.31
26,"市立東勢國中","[423]臺中市東勢區東崎路五段415號",232974.747,2682797.856
27,"市立東華國中","[423]臺中市東勢區東關路五段500號",233720.147,2677761.927
28,"市立東新國中","[423]臺中市東勢區東新里5鄰東環街123號",232709.184,2684148.841
29,"市立成功國中","[412]臺中市大里區至善路157號",219451.7,2665403.23
30,"市立和平國中","[424]臺中市和平區東關路三段崑崙巷62號",238061.522,2674817.518
31,"市立北勢國中","[433]臺中市沙鹿區英才路150號",206244.367,2680050.128
32,"市立鹿寮國中","[433]臺中市沙鹿區光華路385號",205988.144,2682105.399
33,"市立光榮國中","[412]臺中市大里區東榮路280號",218166.929,2667328.04
34,"市立潭秀國中","[427]臺中市潭子區雅潭路一段175號",219587.94,2679021.174
35,"市立順天國中","[437]臺中市大甲區大安港路67號",210951.2,2693875.72
36,"市立清海國中","[436]臺中市清水區中央路51之60號",204685.75,2685709.549
37,"市立大華國中","[428]臺中市大雅區雅環路一段2號",214551.965,2678988.779
38,"市立新光國中","[411]臺中市太平區樹德九街 139 號",220462.32,2672541.46
39,"市立光正國中","[412]臺中市大里區鳳凰路68號",221401.69,2665670.649
40,"市立豐陽國中","[420]臺中市豐原區朝陽路33號",224104.37,2684066.23
41,"市立光德國中","[414]臺中市烏日區信義街99號",213484.264,2666706.243
42,"市立立新國中","[412]臺中市大里區甲堤路236號",219124.22,2666643.71
43,"市立爽文國中","[412]臺中市大里區永隆三街1號",217308.98,2666982.87
44,"市立公明國中","[433]臺中市沙鹿區公明里中清路六段567號",209333.56,2682689.14
45,"市立神圳國中","[429]臺中市神岡區神清路61號",215231.359,2683964.129
46,"市立梨山國中(小)","[424]臺中市和平區梨山里福壽路10號",276383.564,2683367.473
47,"私立麗喆國中(小)","[407]臺中市西屯區國安二路242巷199號",210827.829,2676635.748
48,"市立居仁國中","[403]臺中市西區自由路一段97號",217347.768,2670241.325
49,"市立雙十國中","[404]臺中市北區力行路258號",218597.89,2671969.736
50,"市立崇倫國中","[402]臺中市南區忠明南路653號",215307.424,2669669.328
51,"市立大德國中","[406]臺中市北屯區雷中街2之23號",216377.565,2675014.322
52,"市立北新國中","[406]臺中市北屯區柳陽東街180號",219211.223,2674973.378
53,"市立東峰國中","[401]臺中市東區仁和路330號",218069.625,2668935.2
