"id","鄉鎮市區","交易標的","土地區段位置建物區段門牌","土地移轉總面積平方公尺","都市土地使用分區","非都市土地使用分區","非都市土地使用編定","交易年月日","交易筆棟數","移轉層次","總樓層數","建物型態","主要用途","主要建材","建築完成年月","建物移轉總面積平方公尺","建物現況格局.房","建物現況格局.廳","建物現況格局.衛","建物現況格局.隔間","有無管理組織","總價元","單價元平方公尺","車位類別","車位移轉總面積.平方公尺.","車位總價元","備註","編號","主建物面積","附屬建物面積","陽台面積","電梯","移轉編號","X","X.1","X.2","X.3","X.4","Response_X","Response_Y","Count"
1,"西區","房地(土地+建物)","五權五街246巷15弄1~30號",83.65,"都市：其他:第二種住宅區","","",1090701,"土地3建物1車位0","全","三層","透天厝","住家用","鋼筋混凝土造",781024,207.45,4,2,3,"有","有",14800000,71342,"",0,0,"親友、員工、共有人或其他特殊關係間之交易","","RPSPMLPJQHPFFAB68DA","150.11","8.92","12.38","無","","","","","",215016.255,2670220.977,2
2,"東區","房地(土地+建物)+車位","東光園路177巷1~30號",34.14,"都市：其他:第二種住宅區","","",1090806,"土地3建物1車位1","二層，三層","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",860106,155.34,4,2,3,"有","有",6900000,44419,"坡道平面",0,0,"","RPPPMLRKQHPFFAB68DA","91.27","6.59","10.55","無","","","","","","",219020.133,2669378.22,4
3,"南區","房地(土地+建物)","美和街91~120號",10.93,"都市：其他:第二種住宅區","","",1090819,"土地1建物1車位0","七層","七層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",830514,63.4,1,2,1,"有","有",3130000,49369,"",0,0,"","RPOOMLKLQHPFFAB87DA","44.43","0","1.29","有","","","","","","",216100.027,2668606.165,2
4,"西區","房地(土地+建物)","五權西五街28巷1~30號",34.8,"都市：其他:第二種住宅區","","",1090513,"土地3建物1車位0","一層","二層","公寓(5樓含以下無電梯)","住家用","加強磚造",610519,33.37,1,1,1,"有","無",2560000,76716,"",0,0,"","RPSNMLSJRHPFFAB88DA","33.37","0","0","無","","","","","","",215341.864,2670392.245,3
5,"南區","房地(土地+建物)","明德街1~30號",13.43,"都市：其他:第二種住宅區","","",1090821,"土地1建物1車位0","六層","七層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",671209,56.97,2,1,1,"有","有",2000000,35106,"",0,0,"","RPUPMLRJRHPFFAB56DA","56.97","0","0","有","2","","","","","",217919.746,2668353.152,4
6,"西區","房地(土地+建物)","華美街154巷1~30號",39.19,"都市：其他:第二種住宅區","","",1090728,"土地1建物1車位0","一層","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",680517,75.97,3,2,2,"有","無",8650000,113861,"",0,0,"其他增建","","RPRQMLSJRHPFFAB09DA","75.97","0","0","無","3","","","","",215382.714,2671102.703,3
7,"北區","房地(土地+建物)","青島西街61~90號",16.53,"都市：其他:第二種住宅區","","",1090808,"土地1建物1車位0","六層","七層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",731001,81.26,2,2,2,"有","有",3900000,47994,"",0,0,"","RPOOMLSJQHPFFBB58DA","58.81","0","1.92","有","4","","","","","",216793.788,2673916.665,8
8,"北屯區","房地(土地+建物)+車位","軍福十六路271~300號",16.57,"都市：其他:第二種商業區","","",1090809,"土地1建物1車位1","十二層","十五層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",1030603,184.84,3,2,2,"有","有",10800000,62390,"坡道平面",30.97,1200000,"","RPTNMLTJQHPFFBB09DA","90.37","0.66","13.3","有","","","","","","",221583.967,2674438.819,3
9,"北區","房地(土地+建物)+車位","太原路二段181~210號",13.29,"都市：其他:第一種商業區","","",1090810,"土地1建物1車位1","十層","十四層","住宅大樓(11層含以上有電梯)","住家用","見其他登記事項",930903,127.23,2,1,2,"有","有",7500000,58948,"坡道機械",0,0,"","RPRSMLPLQHPFFBB56DA","74.2","2.65","8.41","有","5","","","","","",217957.866,2673317.967,6
10,"北區","房地(土地+建物)+車位","五常街211~240號",18.93,"都市：其他:第二種住宅區","","",1090813,"土地1建物1車位1","九層","十二層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",840415,139.01,3,2,2,"有","有",9180000,66038,"坡道平面",0,0,"","RPVRMLLMQHPFFBB56DA","76.07","0","4.81","有","","","","","","",217501.776,2673097.751,6
11,"北區","房地(土地+建物)","學士路271~300號",5.03,"都市：其他:第一種商業區","","",1090629,"土地1建物1車位0","十四層","十八層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",980805,72.85,1,1,1,"有","有",5880000,80714,"",0,0,"","RPOOMLMJRHPFFBB08DA","44.34","0","7.56","有","","","","","","",217591.331,2673084.12,7
12,"北屯區","房地(土地+建物)","昌平路二段4巷31~60號",15.02,"都市：其他:第二種住宅區","","",1090809,"土地1建物1車位0","一層","九層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",830426,94.35,5,2,2,"有","有",6460000,68468,"",0,0,"其他增建","","RPQQMLNJRHPFFBB58DA","64.4","7.98","0","有","6","","","","",218591.752,2674906.166,5
13,"北屯區","房地(土地+建物)","文心路四段271~300號",5.92,"都市：其他:第三種住宅區。","","",1090725,"土地1建物1車位0","五層","二十二層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",1020725,63.68,1,1,1,"有","有",5620000,88254,"",0,0,"","RPTOMLRJRHPFFBB09DA","35.34","1.63","5.98","有","7","","","","","",219261.56,2674001.986,5
14,"北區","房地(土地+建物)","三民路三段315巷1~30號",3.85,"都市：其他:第二種住宅區","","",1090901,"土地1建物1車位0","六層","七層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",800415,31.72,1,1,1,"有","有",1780000,56116,"",0,0,"","RPXQMLRJRHPFFBB07DA","20.34","0","6.57","有","","","","","","",218302.454,2672481.83,5
